name	sample	num_seqs	limit
RNA_Grab_4e104_800k	RNA_Grab_4e104		800k
RNA_Grab_4e104_1M	RNA_Grab_4e104		1M
RNA_Grab_4e104_1.5M	RNA_Grab_4e104		1.5M
RNA_Grab_4e104_2M	RNA_Grab_4e104		2M
RNA_Grab_4e104_3M	RNA_Grab_4e104		3M
RNA_NFW_2e105_50k	RNA_NFW_2e105	4288641	50k
RNA_NFW_2e105_100k	RNA_NFW_2e105		100k
RNA_NFW_2e105_200k	RNA_NFW_2e105		200k
RNA_NFW_2e105_300k	RNA_NFW_2e105		300k
RNA_NFW_2e105_500k	RNA_NFW_2e105		500k
RNA_NFW_2e105_800k	RNA_NFW_2e105		800k
RNA_NFW_2e105_1M	RNA_NFW_2e105		1M
RNA_NFW_2e105_1.5M	RNA_NFW_2e105		1.5M
RNA_NFW_2e105_2M	RNA_NFW_2e105		2M
RNA_NFW_2e105_3M	RNA_NFW_2e105		3M
RNA_Comp_8e103_50k	RNA_Comp_8e103	4396611	50k
RNA_Comp_8e103_100k	RNA_Comp_8e103		100k
RNA_Comp_8e103_200k	RNA_Comp_8e103		200k
RNA_Comp_8e103_300k	RNA_Comp_8e103		300k
RNA_Comp_8e103_500k	RNA_Comp_8e103		500k
RNA_Comp_8e103_800k	RNA_Comp_8e103		800k
RNA_Comp_8e103_1M	RNA_Comp_8e103		1M
RNA_Comp_8e103_1.5M	RNA_Comp_8e103		1.5M
RNA_Comp_8e103_2M	RNA_Comp_8e103		2M
RNA_Comp_8e103_3M	RNA_Comp_8e103		3M
RNA_WW_Control_0h_cDNA_50k	RNA_WW_Control_0h_cDNA	4611411	50k
RNA_WW_Control_0h_cDNA_100k	RNA_WW_Control_0h_cDNA		100k
RNA_WW_Control_0h_cDNA_200k	RNA_WW_Control_0h_cDNA		200k
RNA_WW_Control_0h_cDNA_300k	RNA_WW_Control_0h_cDNA		300k
RNA_WW_Control_0h_cDNA_500k	RNA_WW_Control_0h_cDNA		500k
RNA_WW_Control_0h_cDNA_800k	RNA_WW_Control_0h_cDNA		800k
RNA_WW_Control_0h_cDNA_1M	RNA_WW_Control_0h_cDNA		1M
RNA_WW_Control_0h_cDNA_1.5M	RNA_WW_Control_0h_cDNA		1.5M
RNA_WW_Control_0h_cDNA_2M	RNA_WW_Control_0h_cDNA		2M
RNA_WW_Control_0h_cDNA_3M	RNA_WW_Control_0h_cDNA		3M
DNA_NFW_1e106_50k	DNA_NFW_1e106	4696643	50k
DNA_NFW_1e106_100k	DNA_NFW_1e106		100k
DNA_NFW_1e106_200k	DNA_NFW_1e106		200k
DNA_NFW_1e106_300k	DNA_NFW_1e106		300k
DNA_NFW_1e106_500k	DNA_NFW_1e106		500k
DNA_NFW_1e106_800k	DNA_NFW_1e106		800k
DNA_NFW_1e106_1M	DNA_NFW_1e106		1M
DNA_NFW_1e106_1.5M	DNA_NFW_1e106		1.5M
DNA_NFW_1e106_2M	DNA_NFW_1e106		2M
DNA_NFW_1e106_3M	DNA_NFW_1e106		3M
RNA_NFW_1e106_50k	RNA_NFW_1e106	5080534	50k
RNA_NFW_1e106_100k	RNA_NFW_1e106		100k
RNA_NFW_1e106_200k	RNA_NFW_1e106		200k
RNA_NFW_1e106_300k	RNA_NFW_1e106		300k
RNA_NFW_1e106_500k	RNA_NFW_1e106		500k
RNA_NFW_1e106_800k	RNA_NFW_1e106		800k
RNA_NFW_1e106_1M	RNA_NFW_1e106		1M
RNA_NFW_1e106_1.5M	RNA_NFW_1e106		1.5M
RNA_NFW_1e106_2M	RNA_NFW_1e106		2M
RNA_NFW_1e106_3M	RNA_NFW_1e106		3M
RNA_PS_2e105_50k	RNA_PS_2e105	5218492	50k
RNA_PS_2e105_100k	RNA_PS_2e105		100k
RNA_PS_2e105_200k	RNA_PS_2e105		200k
RNA_PS_2e105_300k	RNA_PS_2e105		300k
RNA_PS_2e105_500k	RNA_PS_2e105		500k
RNA_PS_2e105_800k	RNA_PS_2e105		800k
RNA_PS_2e105_1M	RNA_PS_2e105		1M
RNA_PS_2e105_1.5M	RNA_PS_2e105		1.5M
RNA_PS_2e105_2M	RNA_PS_2e105		2M
RNA_PS_2e105_3M	RNA_PS_2e105		3M
RNA_WW_Control_48h_cDNA_50k	RNA_WW_Control_48h_cDNA	5623575	50k
RNA_WW_Control_48h_cDNA_100k	RNA_WW_Control_48h_cDNA		100k
RNA_WW_Control_48h_cDNA_200k	RNA_WW_Control_48h_cDNA		200k
RNA_WW_Control_48h_cDNA_300k	RNA_WW_Control_48h_cDNA		300k
RNA_WW_Control_48h_cDNA_500k	RNA_WW_Control_48h_cDNA		500k
RNA_WW_Control_48h_cDNA_800k	RNA_WW_Control_48h_cDNA		800k
RNA_WW_Control_48h_cDNA_1M	RNA_WW_Control_48h_cDNA		1M
RNA_WW_Control_48h_cDNA_1.5M	RNA_WW_Control_48h_cDNA		1.5M
RNA_WW_Control_48h_cDNA_2M	RNA_WW_Control_48h_cDNA		2M
RNA_WW_Control_48h_cDNA_3M	RNA_WW_Control_48h_cDNA		3M
RNA_PS_4e104_50k	RNA_PS_4e104	7353505	50k
RNA_PS_4e104_100k	RNA_PS_4e104		100k
RNA_PS_4e104_200k	RNA_PS_4e104		200k
RNA_PS_4e104_300k	RNA_PS_4e104		300k
RNA_PS_4e104_500k	RNA_PS_4e104		500k
RNA_PS_4e104_800k	RNA_PS_4e104		800k
RNA_PS_4e104_1M	RNA_PS_4e104		1M
RNA_PS_4e104_1.5M	RNA_PS_4e104		1.5M
RNA_PS_4e104_2M	RNA_PS_4e104		2M
RNA_PS_4e104_3M	RNA_PS_4e104		3M
RNA_PS_8e103_50k	RNA_PS_8e103	11699029	50k
RNA_PS_8e103_100k	RNA_PS_8e103		100k
RNA_PS_8e103_200k	RNA_PS_8e103		200k
RNA_PS_8e103_300k	RNA_PS_8e103		300k
RNA_PS_8e103_500k	RNA_PS_8e103		500k
RNA_PS_8e103_800k	RNA_PS_8e103		800k
RNA_PS_8e103_1M	RNA_PS_8e103		1M
RNA_PS_8e103_1.5M	RNA_PS_8e103		1.5M
RNA_PS_8e103_2M	RNA_PS_8e103		2M
RNA_PS_8e103_3M	RNA_PS_8e103		3M
